"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"Bijlmer-Centrum","2022-01","Environment",0
"Bijlmer-Centrum","2022-01","Inappropriateness",4
"Bijlmer-Centrum","2022-01","Other",4
"Bijlmer-Centrum","2022-01","Robbery/Theft",27
"Bijlmer-Centrum","2022-01","Smuggling",3
"Bijlmer-Centrum","2022-01","Total",55
"Bijlmer-Centrum","2022-01","Violence",17
"Bijlmer-Centrum","2022-02","Environment",0
"Bijlmer-Centrum","2022-02","Inappropriateness",4
"Bijlmer-Centrum","2022-02","Other",5
"Bijlmer-Centrum","2022-02","Robbery/Theft",22
"Bijlmer-Centrum","2022-02","Smuggling",0
"Bijlmer-Centrum","2022-02","Total",43
"Bijlmer-Centrum","2022-02","Violence",11
"Bijlmer-Centrum","2022-03","Environment",1
"Bijlmer-Centrum","2022-03","Inappropriateness",1
"Bijlmer-Centrum","2022-03","Other",2
"Bijlmer-Centrum","2022-03","Robbery/Theft",30
"Bijlmer-Centrum","2022-03","Smuggling",0
"Bijlmer-Centrum","2022-03","Total",48
"Bijlmer-Centrum","2022-03","Violence",11
"Bijlmer-Centrum","2022-04","Environment",1
"Bijlmer-Centrum","2022-04","Inappropriateness",2
"Bijlmer-Centrum","2022-04","Other",1
"Bijlmer-Centrum","2022-04","Robbery/Theft",25
"Bijlmer-Centrum","2022-04","Smuggling",0
"Bijlmer-Centrum","2022-04","Total",54
"Bijlmer-Centrum","2022-04","Violence",20
"Bijlmer-Centrum","2022-05","Environment",0
"Bijlmer-Centrum","2022-05","Inappropriateness",3
"Bijlmer-Centrum","2022-05","Other",6
"Bijlmer-Centrum","2022-05","Robbery/Theft",49
"Bijlmer-Centrum","2022-05","Smuggling",5
"Bijlmer-Centrum","2022-05","Total",86
"Bijlmer-Centrum","2022-05","Violence",21
"Bijlmer-Centrum","2022-06","Environment",1
"Bijlmer-Centrum","2022-06","Inappropriateness",5
"Bijlmer-Centrum","2022-06","Other",5
"Bijlmer-Centrum","2022-06","Robbery/Theft",42
"Bijlmer-Centrum","2022-06","Smuggling",0
"Bijlmer-Centrum","2022-06","Total",81
"Bijlmer-Centrum","2022-06","Violence",24
"Bijlmer-Centrum","2022-07","Environment",0
"Bijlmer-Centrum","2022-07","Inappropriateness",2
"Bijlmer-Centrum","2022-07","Other",3
"Bijlmer-Centrum","2022-07","Robbery/Theft",32
"Bijlmer-Centrum","2022-07","Smuggling",0
"Bijlmer-Centrum","2022-07","Total",61
"Bijlmer-Centrum","2022-07","Violence",20
"Bijlmer-Centrum","2022-08","Environment",0
"Bijlmer-Centrum","2022-08","Inappropriateness",4
"Bijlmer-Centrum","2022-08","Other",1
"Bijlmer-Centrum","2022-08","Robbery/Theft",39
"Bijlmer-Centrum","2022-08","Smuggling",3
"Bijlmer-Centrum","2022-08","Total",76
"Bijlmer-Centrum","2022-08","Violence",23
"Bijlmer-Centrum","2022-09","Environment",2
"Bijlmer-Centrum","2022-09","Inappropriateness",10
"Bijlmer-Centrum","2022-09","Other",7
"Bijlmer-Centrum","2022-09","Robbery/Theft",46
"Bijlmer-Centrum","2022-09","Smuggling",1
"Bijlmer-Centrum","2022-09","Total",86
"Bijlmer-Centrum","2022-09","Violence",20
"Bijlmer-Centrum","2022-10","Environment",1
"Bijlmer-Centrum","2022-10","Inappropriateness",7
"Bijlmer-Centrum","2022-10","Other",0
"Bijlmer-Centrum","2022-10","Robbery/Theft",77
"Bijlmer-Centrum","2022-10","Smuggling",14
"Bijlmer-Centrum","2022-10","Total",133
"Bijlmer-Centrum","2022-10","Violence",29
"Bijlmer-Centrum","2022-11","Environment",0
"Bijlmer-Centrum","2022-11","Inappropriateness",3
"Bijlmer-Centrum","2022-11","Other",9
"Bijlmer-Centrum","2022-11","Robbery/Theft",57
"Bijlmer-Centrum","2022-11","Smuggling",1
"Bijlmer-Centrum","2022-11","Total",94
"Bijlmer-Centrum","2022-11","Violence",21
"Bijlmer-Centrum","2022-12","Environment",2
"Bijlmer-Centrum","2022-12","Inappropriateness",3
"Bijlmer-Centrum","2022-12","Other",6
"Bijlmer-Centrum","2022-12","Robbery/Theft",32
"Bijlmer-Centrum","2022-12","Smuggling",1
"Bijlmer-Centrum","2022-12","Total",53
"Bijlmer-Centrum","2022-12","Violence",9
"Bos en Lommer","2022-01","Environment",0
"Bos en Lommer","2022-01","Inappropriateness",11
"Bos en Lommer","2022-01","Other",22
"Bos en Lommer","2022-01","Robbery/Theft",83
"Bos en Lommer","2022-01","Smuggling",3
"Bos en Lommer","2022-01","Total",182
"Bos en Lommer","2022-01","Violence",60
"Bos en Lommer","2022-02","Environment",0
"Bos en Lommer","2022-02","Inappropriateness",3
"Bos en Lommer","2022-02","Other",38
"Bos en Lommer","2022-02","Robbery/Theft",74
"Bos en Lommer","2022-02","Smuggling",5
"Bos en Lommer","2022-02","Total",185
"Bos en Lommer","2022-02","Violence",62
"Bos en Lommer","2022-03","Environment",0
"Bos en Lommer","2022-03","Inappropriateness",10
"Bos en Lommer","2022-03","Other",24
"Bos en Lommer","2022-03","Robbery/Theft",90
"Bos en Lommer","2022-03","Smuggling",9
"Bos en Lommer","2022-03","Total",181
"Bos en Lommer","2022-03","Violence",40
"Bos en Lommer","2022-04","Environment",0
"Bos en Lommer","2022-04","Inappropriateness",11
"Bos en Lommer","2022-04","Other",18
"Bos en Lommer","2022-04","Robbery/Theft",87
"Bos en Lommer","2022-04","Smuggling",3
"Bos en Lommer","2022-04","Total",180
"Bos en Lommer","2022-04","Violence",55
"Bos en Lommer","2022-05","Environment",1
"Bos en Lommer","2022-05","Inappropriateness",6
"Bos en Lommer","2022-05","Other",25
"Bos en Lommer","2022-05","Robbery/Theft",61
"Bos en Lommer","2022-05","Smuggling",4
"Bos en Lommer","2022-05","Total",167
"Bos en Lommer","2022-05","Violence",63
"Bos en Lommer","2022-06","Environment",0
"Bos en Lommer","2022-06","Inappropriateness",10
"Bos en Lommer","2022-06","Other",27
"Bos en Lommer","2022-06","Robbery/Theft",106
"Bos en Lommer","2022-06","Smuggling",6
"Bos en Lommer","2022-06","Total",209
"Bos en Lommer","2022-06","Violence",52
"Bos en Lommer","2022-07","Environment",0
"Bos en Lommer","2022-07","Inappropriateness",5
"Bos en Lommer","2022-07","Other",22
"Bos en Lommer","2022-07","Robbery/Theft",84
"Bos en Lommer","2022-07","Smuggling",5
"Bos en Lommer","2022-07","Total",163
"Bos en Lommer","2022-07","Violence",44
"Bos en Lommer","2022-08","Environment",0
"Bos en Lommer","2022-08","Inappropriateness",6
"Bos en Lommer","2022-08","Other",22
"Bos en Lommer","2022-08","Robbery/Theft",75
"Bos en Lommer","2022-08","Smuggling",5
"Bos en Lommer","2022-08","Total",163
"Bos en Lommer","2022-08","Violence",52
"Bos en Lommer","2022-09","Environment",0
"Bos en Lommer","2022-09","Inappropriateness",6
"Bos en Lommer","2022-09","Other",14
"Bos en Lommer","2022-09","Robbery/Theft",97
"Bos en Lommer","2022-09","Smuggling",3
"Bos en Lommer","2022-09","Total",186
"Bos en Lommer","2022-09","Violence",58
"Bos en Lommer","2022-10","Environment",0
"Bos en Lommer","2022-10","Inappropriateness",6
"Bos en Lommer","2022-10","Other",19
"Bos en Lommer","2022-10","Robbery/Theft",126
"Bos en Lommer","2022-10","Smuggling",2
"Bos en Lommer","2022-10","Total",213
"Bos en Lommer","2022-10","Violence",55
"Bos en Lommer","2022-11","Environment",2
"Bos en Lommer","2022-11","Inappropriateness",9
"Bos en Lommer","2022-11","Other",24
"Bos en Lommer","2022-11","Robbery/Theft",119
"Bos en Lommer","2022-11","Smuggling",2
"Bos en Lommer","2022-11","Total",224
"Bos en Lommer","2022-11","Violence",61
"Bos en Lommer","2022-12","Environment",1
"Bos en Lommer","2022-12","Inappropriateness",3
"Bos en Lommer","2022-12","Other",20
"Bos en Lommer","2022-12","Robbery/Theft",73
"Bos en Lommer","2022-12","Smuggling",5
"Bos en Lommer","2022-12","Total",162
"Bos en Lommer","2022-12","Violence",53
"Buitenveldert - Zuidas","2022-01","Environment",0
"Buitenveldert - Zuidas","2022-01","Inappropriateness",10
"Buitenveldert - Zuidas","2022-01","Other",26
"Buitenveldert - Zuidas","2022-01","Robbery/Theft",73
"Buitenveldert - Zuidas","2022-01","Smuggling",7
"Buitenveldert - Zuidas","2022-01","Total",179
"Buitenveldert - Zuidas","2022-01","Violence",55
"Buitenveldert - Zuidas","2022-02","Environment",0
"Buitenveldert - Zuidas","2022-02","Inappropriateness",7
"Buitenveldert - Zuidas","2022-02","Other",30
"Buitenveldert - Zuidas","2022-02","Robbery/Theft",61
"Buitenveldert - Zuidas","2022-02","Smuggling",3
"Buitenveldert - Zuidas","2022-02","Total",142
"Buitenveldert - Zuidas","2022-02","Violence",38
"Buitenveldert - Zuidas","2022-03","Environment",0
"Buitenveldert - Zuidas","2022-03","Inappropriateness",4
"Buitenveldert - Zuidas","2022-03","Other",23
"Buitenveldert - Zuidas","2022-03","Robbery/Theft",80
"Buitenveldert - Zuidas","2022-03","Smuggling",2
"Buitenveldert - Zuidas","2022-03","Total",157
"Buitenveldert - Zuidas","2022-03","Violence",44
"Buitenveldert - Zuidas","2022-04","Environment",0
"Buitenveldert - Zuidas","2022-04","Inappropriateness",9
"Buitenveldert - Zuidas","2022-04","Other",26
"Buitenveldert - Zuidas","2022-04","Robbery/Theft",66
"Buitenveldert - Zuidas","2022-04","Smuggling",3
"Buitenveldert - Zuidas","2022-04","Total",155
"Buitenveldert - Zuidas","2022-04","Violence",49
"Buitenveldert - Zuidas","2022-05","Environment",0
"Buitenveldert - Zuidas","2022-05","Inappropriateness",4
"Buitenveldert - Zuidas","2022-05","Other",21
"Buitenveldert - Zuidas","2022-05","Robbery/Theft",76
"Buitenveldert - Zuidas","2022-05","Smuggling",0
"Buitenveldert - Zuidas","2022-05","Total",152
"Buitenveldert - Zuidas","2022-05","Violence",45
"Buitenveldert - Zuidas","2022-06","Environment",0
"Buitenveldert - Zuidas","2022-06","Inappropriateness",4
"Buitenveldert - Zuidas","2022-06","Other",23
"Buitenveldert - Zuidas","2022-06","Robbery/Theft",74
"Buitenveldert - Zuidas","2022-06","Smuggling",2
"Buitenveldert - Zuidas","2022-06","Total",134
"Buitenveldert - Zuidas","2022-06","Violence",29
"Buitenveldert - Zuidas","2022-07","Environment",0
"Buitenveldert - Zuidas","2022-07","Inappropriateness",5
"Buitenveldert - Zuidas","2022-07","Other",20
"Buitenveldert - Zuidas","2022-07","Robbery/Theft",117
"Buitenveldert - Zuidas","2022-07","Smuggling",2
"Buitenveldert - Zuidas","2022-07","Total",196
"Buitenveldert - Zuidas","2022-07","Violence",47
"Buitenveldert - Zuidas","2022-08","Environment",0
"Buitenveldert - Zuidas","2022-08","Inappropriateness",10
"Buitenveldert - Zuidas","2022-08","Other",32
"Buitenveldert - Zuidas","2022-08","Robbery/Theft",95
"Buitenveldert - Zuidas","2022-08","Smuggling",3
"Buitenveldert - Zuidas","2022-08","Total",178
"Buitenveldert - Zuidas","2022-08","Violence",36
"Buitenveldert - Zuidas","2022-09","Environment",0
"Buitenveldert - Zuidas","2022-09","Inappropriateness",9
"Buitenveldert - Zuidas","2022-09","Other",14
"Buitenveldert - Zuidas","2022-09","Robbery/Theft",127
"Buitenveldert - Zuidas","2022-09","Smuggling",1
"Buitenveldert - Zuidas","2022-09","Total",197
"Buitenveldert - Zuidas","2022-09","Violence",41
"Buitenveldert - Zuidas","2022-10","Environment",0
"Buitenveldert - Zuidas","2022-10","Inappropriateness",11
"Buitenveldert - Zuidas","2022-10","Other",21
"Buitenveldert - Zuidas","2022-10","Robbery/Theft",136
"Buitenveldert - Zuidas","2022-10","Smuggling",3
"Buitenveldert - Zuidas","2022-10","Total",228
"Buitenveldert - Zuidas","2022-10","Violence",47
"Buitenveldert - Zuidas","2022-11","Environment",0
"Buitenveldert - Zuidas","2022-11","Inappropriateness",10
"Buitenveldert - Zuidas","2022-11","Other",19
"Buitenveldert - Zuidas","2022-11","Robbery/Theft",110
"Buitenveldert - Zuidas","2022-11","Smuggling",4
"Buitenveldert - Zuidas","2022-11","Total",216
"Buitenveldert - Zuidas","2022-11","Violence",69
"Buitenveldert - Zuidas","2022-12","Environment",0
"Buitenveldert - Zuidas","2022-12","Inappropriateness",9
"Buitenveldert - Zuidas","2022-12","Other",23
"Buitenveldert - Zuidas","2022-12","Robbery/Theft",94
"Buitenveldert - Zuidas","2022-12","Smuggling",5
"Buitenveldert - Zuidas","2022-12","Total",172
"Buitenveldert - Zuidas","2022-12","Violence",39
"Centrum-Oost","2022-01","Environment",1
"Centrum-Oost","2022-01","Inappropriateness",8
"Centrum-Oost","2022-01","Other",34
"Centrum-Oost","2022-01","Robbery/Theft",98
"Centrum-Oost","2022-01","Smuggling",6
"Centrum-Oost","2022-01","Total",212
"Centrum-Oost","2022-01","Violence",60
"Centrum-Oost","2022-02","Environment",0
"Centrum-Oost","2022-02","Inappropriateness",6
"Centrum-Oost","2022-02","Other",38
"Centrum-Oost","2022-02","Robbery/Theft",90
"Centrum-Oost","2022-02","Smuggling",2
"Centrum-Oost","2022-02","Total",199
"Centrum-Oost","2022-02","Violence",54
"Centrum-Oost","2022-03","Environment",0
"Centrum-Oost","2022-03","Inappropriateness",19
"Centrum-Oost","2022-03","Other",43
"Centrum-Oost","2022-03","Robbery/Theft",119
"Centrum-Oost","2022-03","Smuggling",4
"Centrum-Oost","2022-03","Total",298
"Centrum-Oost","2022-03","Violence",106
"Centrum-Oost","2022-04","Environment",0
"Centrum-Oost","2022-04","Inappropriateness",16
"Centrum-Oost","2022-04","Other",45
"Centrum-Oost","2022-04","Robbery/Theft",116
"Centrum-Oost","2022-04","Smuggling",8
"Centrum-Oost","2022-04","Total",264
"Centrum-Oost","2022-04","Violence",62
"Centrum-Oost","2022-05","Environment",1
"Centrum-Oost","2022-05","Inappropriateness",14
"Centrum-Oost","2022-05","Other",31
"Centrum-Oost","2022-05","Robbery/Theft",158
"Centrum-Oost","2022-05","Smuggling",6
"Centrum-Oost","2022-05","Total",301
"Centrum-Oost","2022-05","Violence",77
"Centrum-Oost","2022-06","Environment",0
"Centrum-Oost","2022-06","Inappropriateness",23
"Centrum-Oost","2022-06","Other",36
"Centrum-Oost","2022-06","Robbery/Theft",218
"Centrum-Oost","2022-06","Smuggling",5
"Centrum-Oost","2022-06","Total",383
"Centrum-Oost","2022-06","Violence",87
"Centrum-Oost","2022-07","Environment",0
"Centrum-Oost","2022-07","Inappropriateness",26
"Centrum-Oost","2022-07","Other",42
"Centrum-Oost","2022-07","Robbery/Theft",260
"Centrum-Oost","2022-07","Smuggling",9
"Centrum-Oost","2022-07","Total",450
"Centrum-Oost","2022-07","Violence",101
"Centrum-Oost","2022-08","Environment",0
"Centrum-Oost","2022-08","Inappropriateness",18
"Centrum-Oost","2022-08","Other",40
"Centrum-Oost","2022-08","Robbery/Theft",265
"Centrum-Oost","2022-08","Smuggling",13
"Centrum-Oost","2022-08","Total",439
"Centrum-Oost","2022-08","Violence",90
"Centrum-Oost","2022-09","Environment",0
"Centrum-Oost","2022-09","Inappropriateness",27
"Centrum-Oost","2022-09","Other",34
"Centrum-Oost","2022-09","Robbery/Theft",249
"Centrum-Oost","2022-09","Smuggling",6
"Centrum-Oost","2022-09","Total",400
"Centrum-Oost","2022-09","Violence",79
"Centrum-Oost","2022-10","Environment",0
"Centrum-Oost","2022-10","Inappropriateness",22
"Centrum-Oost","2022-10","Other",41
"Centrum-Oost","2022-10","Robbery/Theft",307
"Centrum-Oost","2022-10","Smuggling",18
"Centrum-Oost","2022-10","Total",533
"Centrum-Oost","2022-10","Violence",127
"Centrum-Oost","2022-11","Environment",0
"Centrum-Oost","2022-11","Inappropriateness",17
"Centrum-Oost","2022-11","Other",35
"Centrum-Oost","2022-11","Robbery/Theft",312
"Centrum-Oost","2022-11","Smuggling",8
"Centrum-Oost","2022-11","Total",482
"Centrum-Oost","2022-11","Violence",102
"Centrum-Oost","2022-12","Environment",1
"Centrum-Oost","2022-12","Inappropriateness",21
"Centrum-Oost","2022-12","Other",32
"Centrum-Oost","2022-12","Robbery/Theft",167
"Centrum-Oost","2022-12","Smuggling",2
"Centrum-Oost","2022-12","Total",290
"Centrum-Oost","2022-12","Violence",58
"Centrum-West","2022-01","Environment",0
"Centrum-West","2022-01","Inappropriateness",12
"Centrum-West","2022-01","Other",48
"Centrum-West","2022-01","Robbery/Theft",218
"Centrum-West","2022-01","Smuggling",12
"Centrum-West","2022-01","Total",400
"Centrum-West","2022-01","Violence",90
"Centrum-West","2022-02","Environment",0
"Centrum-West","2022-02","Inappropriateness",11
"Centrum-West","2022-02","Other",45
"Centrum-West","2022-02","Robbery/Theft",181
"Centrum-West","2022-02","Smuggling",9
"Centrum-West","2022-02","Total",325
"Centrum-West","2022-02","Violence",60
"Centrum-West","2022-03","Environment",0
"Centrum-West","2022-03","Inappropriateness",30
"Centrum-West","2022-03","Other",70
"Centrum-West","2022-03","Robbery/Theft",209
"Centrum-West","2022-03","Smuggling",25
"Centrum-West","2022-03","Total",453
"Centrum-West","2022-03","Violence",88
"Centrum-West","2022-04","Environment",0
"Centrum-West","2022-04","Inappropriateness",19
"Centrum-West","2022-04","Other",51
"Centrum-West","2022-04","Robbery/Theft",227
"Centrum-West","2022-04","Smuggling",14
"Centrum-West","2022-04","Total",427
"Centrum-West","2022-04","Violence",95
"Centrum-West","2022-05","Environment",0
"Centrum-West","2022-05","Inappropriateness",16
"Centrum-West","2022-05","Other",53
"Centrum-West","2022-05","Robbery/Theft",262
"Centrum-West","2022-05","Smuggling",10
"Centrum-West","2022-05","Total",481
"Centrum-West","2022-05","Violence",111
"Centrum-West","2022-06","Environment",0
"Centrum-West","2022-06","Inappropriateness",19
"Centrum-West","2022-06","Other",36
"Centrum-West","2022-06","Robbery/Theft",378
"Centrum-West","2022-06","Smuggling",29
"Centrum-West","2022-06","Total",632
"Centrum-West","2022-06","Violence",143
"Centrum-West","2022-07","Environment",0
"Centrum-West","2022-07","Inappropriateness",16
"Centrum-West","2022-07","Other",34
"Centrum-West","2022-07","Robbery/Theft",441
"Centrum-West","2022-07","Smuggling",16
"Centrum-West","2022-07","Total",670
"Centrum-West","2022-07","Violence",133
"Centrum-West","2022-08","Environment",0
"Centrum-West","2022-08","Inappropriateness",30
"Centrum-West","2022-08","Other",46
"Centrum-West","2022-08","Robbery/Theft",458
"Centrum-West","2022-08","Smuggling",13
"Centrum-West","2022-08","Total",699
"Centrum-West","2022-08","Violence",123
"Centrum-West","2022-09","Environment",4
"Centrum-West","2022-09","Inappropriateness",18
"Centrum-West","2022-09","Other",40
"Centrum-West","2022-09","Robbery/Theft",420
"Centrum-West","2022-09","Smuggling",23
"Centrum-West","2022-09","Total",699
"Centrum-West","2022-09","Violence",155
"Centrum-West","2022-10","Environment",0
"Centrum-West","2022-10","Inappropriateness",35
"Centrum-West","2022-10","Other",38
"Centrum-West","2022-10","Robbery/Theft",518
"Centrum-West","2022-10","Smuggling",16
"Centrum-West","2022-10","Total",808
"Centrum-West","2022-10","Violence",169
"Centrum-West","2022-11","Environment",2
"Centrum-West","2022-11","Inappropriateness",21
"Centrum-West","2022-11","Other",43
"Centrum-West","2022-11","Robbery/Theft",519
"Centrum-West","2022-11","Smuggling",38
"Centrum-West","2022-11","Total",801
"Centrum-West","2022-11","Violence",155
"Centrum-West","2022-12","Environment",0
"Centrum-West","2022-12","Inappropriateness",16
"Centrum-West","2022-12","Other",37
"Centrum-West","2022-12","Robbery/Theft",329
"Centrum-West","2022-12","Smuggling",5
"Centrum-West","2022-12","Total",518
"Centrum-West","2022-12","Violence",114
"De Akker - Nieuw Sloten","2022-01","Environment",0
"De Akker - Nieuw Sloten","2022-01","Inappropriateness",4
"De Akker - Nieuw Sloten","2022-01","Other",18
"De Akker - Nieuw Sloten","2022-01","Robbery/Theft",53
"De Akker - Nieuw Sloten","2022-01","Smuggling",3
"De Akker - Nieuw Sloten","2022-01","Total",110
"De Akker - Nieuw Sloten","2022-01","Violence",29
"De Akker - Nieuw Sloten","2022-02","Environment",0
"De Akker - Nieuw Sloten","2022-02","Inappropriateness",4
"De Akker - Nieuw Sloten","2022-02","Other",16
"De Akker - Nieuw Sloten","2022-02","Robbery/Theft",31
"De Akker - Nieuw Sloten","2022-02","Smuggling",3
"De Akker - Nieuw Sloten","2022-02","Total",83
"De Akker - Nieuw Sloten","2022-02","Violence",27
"De Akker - Nieuw Sloten","2022-03","Environment",1
"De Akker - Nieuw Sloten","2022-03","Inappropriateness",3
"De Akker - Nieuw Sloten","2022-03","Other",22
"De Akker - Nieuw Sloten","2022-03","Robbery/Theft",37
"De Akker - Nieuw Sloten","2022-03","Smuggling",2
"De Akker - Nieuw Sloten","2022-03","Total",103
"De Akker - Nieuw Sloten","2022-03","Violence",37
"De Akker - Nieuw Sloten","2022-04","Environment",0
"De Akker - Nieuw Sloten","2022-04","Inappropriateness",2
"De Akker - Nieuw Sloten","2022-04","Other",26
